Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total,Source
H4GPY7X,"Herc Rentals (9213) - Tupelo MS","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2026-01-28,2026-01-28,2026-01-29,475,Graham
P5XP28P,"MG Machinery - Buda TX","Dozer, 80,000 lbs+",2026-01-27,2026-01-29,2026-09-10,148000,Graham
HWH94HG,"Equipment Share","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-01-26,2026-01-26,2026-01-28,698,Graham
KBEDTEZ,"Pat Kelly Equipment Company - Hazelwood MO","Backhoe, 90 hp+",2026-01-23,2026-01-23,2026-01-29,975,Graham
VTWXV3U,"Equipment Share","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2026-01-22,2026-01-22,2026-01-29,2815,Graham
589LTEY,"Equipment Share","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2026-01-22,2026-01-22,2026-01-24,1052,Graham
8CSGCHS,"Everjoy Rent All Co - Detroit MI","Pneumatic Tire Forklift, 5000 lbs",2026-01-21,2026-01-23,2026-01-30,461,Graham
TE8J97B,"Jersey Rents & Equipment Sales - Old Bridge, NJ","Custom/Other",2026-01-21,2026-01-23,2026-01-30,2800,Graham
8V6TRR3,"Equipment Share","Backhoe, 90 hp+",2026-01-21,2026-01-23,2026-01-29,1114,Graham
L7VGB4Z,"Dobbs Equipment (John Deere) - Fort Myers FL","Excavator, 50 ton+",2026-01-20,2026-01-21,2026-01-28,4330,Graham
E6JPXH4,"Mcleary Lift Equipment - Brampton ON","Cushion Tire Forklift, 15,000 lbs (Indoor Use Only)",2026-01-20,2026-01-21,2026-03-18,5850,Graham
QLZYEK3,"Herc Rentals (9270) - Maple Grove MN","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-20,2026-01-20,2026-01-27,323,Graham
FKXS2LJ,"Stoney Creek Equipment Rentals - Hamilton ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-20,2026-01-22,2026-01-23,120.71,System Process
55ZGWDE,"Smedley Aerial Lifts - Branford CT","Telehandler Reach Forklift, 6000 lbs, 32 - 39 ft",2026-01-19,2026-01-23,2026-01-25,841,Graham
QWAX3R8,"Equipment Share","Custom/Other",2026-01-16,2026-01-19,2026-02-16,1412,Graham
XY429V9,"Equipment Share","Custom/Other",2026-01-15,2026-01-16,2026-01-23,803,Graham
QF2E7K2,"Cooke Rentals - Denver NC","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2026-01-15,2026-01-16,2026-01-17,410,Graham
4JQS7EV,"Powertrip Rentals - Signal Hill CA","Custom/Other",2026-01-15,2026-01-15,2026-01-22,250,Graham
SXXUSTD,"Riggs Cat - Benton AR","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-15,2026-01-15,2026-01-16,170,Graham
DQL8A6K,"Equipment Share","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2026-01-14,2026-01-15,2026-01-22,2815,Graham
3SA2C7G,"Equipment Share","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2026-01-14,2026-01-16,2026-01-23,1188,Graham
PFKXVJ2,"Equipment Share - Memphis TN","Excavator, 15 ton+",2026-01-14,2026-01-16,2026-01-17,728,Graham
2YL4GW5,"Aerial Plus - Burlington ON","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-01-14,2026-01-16,2026-01-17,156,System Process
RTLPQ8A,"Cropac Equipment Inc","Custom/Other",2026-01-14,2026-01-14,2026-01-16,2800,Graham
GVTE9D2,"Chet's Rent-All - Oak Park MI","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-13,2026-01-19,2026-01-26,305,Graham
DSCCCRF,"Action Lift, Inc - Leander TX","Pneumatic Tire Forklift, 8000 lbs",2026-01-13,2026-01-14,2026-02-11,2297,Graham
WFKPHX5,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 32 ft (Indoor Use Only)",2026-01-13,2026-01-15,2026-01-16,300,Graham
XLZVABL,"Sunstate Equipment - Balch Springs TX","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-13,2026-01-19,2026-02-15,366,Graham
DUW5JED,"Herc Rentals (9423) - Springfield MO","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-12,2026-01-12,2026-01-19,200,Graham
Q9Q7YU3,"Equipment Share","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-09,2026-01-12,2026-01-19,516,Graham
QSJ7BSH,"Equipment Share","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-09,2026-01-12,2026-01-19,516,Graham
